"Resource name",Url,Platform,"ELIXIR Node","Scientific domain","ELIXIR badge",Description,"Principal investigator","bio.tools link","FAIRsharing link"
"Tree-based Consistency Objective Function for Alignment Evaluation (T-Coffee)",https://tcoffee.org,,"ELIXIR Spain","Genes and genomes",,"A multiple sequence alignment package that can be used for DNA, RNA and protein sequences. It can be used to align sequences or to combine the output of other alignment methods (Clustal, Mafft, Probcons, Muscle...) into one unique alignment.",,https://bio.tools/tcoffee,
Trimmomatic,https://github.com/usadellab/Trimmomatic,,"ELIXIR Germany",,,"Trimmomatic is a flexible read trimming tool for NGS data.","Björn Usadel",https://bio.tools/trimmomatic,
TSD,https://www.uio.no/english/services/it/research/sensitive-data/index.html,,"ELIXIR Norway",,,"The Norwegian services for sensitive data, is a platform enabling collection, storage and analysis of sensitive research data in a secure environment.",,,
TSTMP,http://tstmp.enzim.ttk.mta.hu/,,"ELIXIR Hungary","Proteins and proteomes",,"Database of key transmembrane target proteins",,,
TYGS,https://tygs.dsmz.de/,,"ELIXIR Germany","Genes and genomes",,"Type (Strain) Genome Server allows you to identify or classify prokaryotic strains and provides genome-based phylogenies with branch support, (sub-)species delineation via digital DDH, differences in genomic G+C content and much more.",,https://bio.tools/TYGS,
UniCatDB,https://www.unicatdb.org/,,"ELIXIR Czech Republic",,,"Universal Catalog Database for biological findings","Ondřej Doktor",https://bio.tools/unicatdb,
Unilectin,https://unilectin.unige.ch/,,"ELIXIR Switzerland","Proteins and proteomes",,"UniLectin is a platform integrating information regarding non-enzymatic carbohydrate-binding proteins usually referred to as lectins with the prospect of building and refining a structural and functional classification of these proteins. It includes the reference Lectin3D a database of 3D structures curated from the PDB. Interactive resource for the exploration of lectins",,https://bio.tools/unilectin,
Unipept,https://unipept.ugent.be/,,"ELIXIR Belgium","Proteins and proteomes",,"Platform for metaproteomics data analysis with a focus on interactive data visualizations","Peter Dawyndt",https://bio.tools/unipept,
UniProtKB,http://www.uniprot.org/,,"ELIXIR Switzerland, EMBL-EBI","Enzymes, interactions and pathways, Proteins and proteomes","Core Data Resources","UniProt produces and maintains automatic and manually curated annotation of all publicly available protein sequences and serves these to users through various interfaces. ","Alex Bateman, Alan Bridge and Cathy Wu",https://bio.tools/uniprotkb,http://doi.org/10.25504/fairsharing.s1ne3g
UniReD,http://bioinformatics.med.uoc.gr/unired/,,"ELIXIR Greece",Literature,,"UniProt Related Documents (UniReD): assisting wet lab biologists
	in their quest on finding novel counterparts in a protein network","Ioannis Iliopoulos",https://bio.tools/unired,
UniTmp,https://www.unitmp.org/,,"ELIXIR Hungary",,,"Tools for processing the topology and structure of transmembrane proteins


	A. Constrained Consensus TOPology prediction server (CCTOP) 
	B. Transmembrane helices and protein topology prediction (HMMTOP),
	C. Detection of transmembrane regions (TMDET)
	D. Transmembrane proteins’ membrane segments folding recognizing (TmFoldWeb)","Gábor E. Tusnády",,
use-galaxy.fr,https://usegalaxy.fr,,"ELIXIR France",,,"UseGalaxy.fr is the national Galaxy instance for ELIXIR-FR and deployed on the IFB Core Cluster and enabling reproducible analysis for french and international researchers in different domains: genomics, metagenomics, metabolomics, proteomics, ecology.","Anthony Bretaudeau, Gildas Le Courguillé",,
useGalaxy.be,https://usegalaxy.be/,,"ELIXIR Belgium",,,"Public Galaxy instance enabling reproducible data analysis through workflows","Frederik Coppens",,
"User Training",https://www.csc.fi/en/training,,"ELIXIR Finland",,,"CSC offers versatile and high-quality training in scientific computing, data management, and information networks - from cutting-edge technologies to widely used methods and practical IT skills.",,,
"UTRdb / UTRSite",http://utrdb.ba.itb.cnr.it/,,"ELIXIR Italy","Genes and genomes",,"Curated database of 5' and 3' untranslated sequences of eukaryotic mRNAs, with experimentally validated functional motifs and cross-links to interacting regulatory proteins.","Graziano Pesole",https://bio.tools/utrdb,
V-pipe,https://cbg-ethz.github.io/V-pipe/,,"ELIXIR Switzerland","Genes and genomes",,"V-pipe is the bioinformatics pipeline that integrates various open-source software packages for assessing viral genetic diversity from next-generation sequencing (NGS) data derived from intra-host virus populations. V-pipe enables reliable and comparable viral pathogen genomics and epidemiological studies and facilitates clinical diagnostics of viruses.",,https://bio.tools/v-pipe,
ValidatorDB,https://webchem.ncbr.muni.cz/Platform/ValidatorDb,,"ELIXIR Czech Republic","Molecular and cellular structures, Proteins and proteomes",,"Collection of validation results for the entire Protein Data Bank.","Radka Svobodová Vařeková / David Sehnal",https://bio.tools/validatordb,http://doi.org/10.25504/fairsharing.c9psgb
ValTrendsDB,http://webchem.ncbr.muni.cz/ValTrendsDB/index.php,,"ELIXIR Czech Republic",,,"A web database of biomacromolecular structure validation trends",,https://bio.tools/valtrendsdb,
VarAFT,https://varaft.eu/,,"ELIXIR France","Genes and genomes, Molecular and cellular structures",,"VarAFT is a software designed to annotate and filter Human NGS data. This system was developed within the RD-Connect project and was instrumental for the creation of the RD-Connect Genome-Phenome platform. As a stand-alone java system, it ensures full data protection, critical for clinical use. VarAFT provides experiments’ quality, annotates, and allows the filtration of VCF files. Data from multiple samples can be combined to address different Mendelian Inherited Disorders, Population Genetics or Cancers. It contains unique variant priorization features including OMIM, HPO, Gene Ontology, pathways and predictions from UMD-Predictor and Human Splicing Finder in addition to classical annotations from dbNSFP . It is used by many research and clinical laboratories worldwide.","Christophe Béroud",https://bio.tools/varaft,
"Variant Ranker",http://paschou-lab.mbg.duth.gr/html5up/index.html,,"ELIXIR Greece","Genes and genomes",,"Performs ranking of variants in genomic datasets, integrating information from multiple sources to prioritize each variant by its deleteriousness, novelty and existing information.","Peristera Paschou",https://bio.tools/variant_ranker,
"Variant Validator",https://www.variantvalidator.org/,,"ELIXIR UK","Genes and genomes",,"Accurate validation, mapping and formatting of sequence variant descriptions","Dr Peter Freeman and Dr Tim Beck",https://bio.tools/VariantValidator,
Variomes,https://variomes.text-analytics.ch/,,"ELIXIR Switzerland",Literature,,"A high recall search engine to support the curation of genomic variants.

https://academic.oup.com/bioinformatics/article/38/9/2595/6547047","Emilie Pasche",https://bio.tools/variomes,
VEuPathDB,https://veupathdb.org/veupathdb/app,,"ELIXIR UK","Evolution and phylogeny","Core Data Resources","VEuPathDB provides access to diverse genomic and other large scale datasets related to eukaryotic pathogens and invertebrate disease vectors.",,,https://fairsharing.org/search?q=VEuPathDB
Vinyl,http://beaconlab.it/VINYL,,"ELIXIR Italy",,,"Galaxy server for the functional annotation and prioritization of genetic variants.","Matteo Chiara",,
ViralZone,http://viralzone.expasy.org,,"ELIXIR Switzerland","Genes and genomes, Proteins and proteomes",,"A resource for viral genes and families, providing detailed molecular and epidemiological information, along with virion and genome figures. Each virus or family page gives easy access to UniProtKB/Swiss-Prot viral protein entries. ","Ioannis Xenarios",https://bio.tools/viralzone,https://doi.org/10.25504/FAIRsharing.tppk10
WarPP,https://proteins.plus/2ozr#warpp,,"ELIXIR Germany","Proteins and proteomes",,"WarPP is a fully automated procedure to place water molecules in the active site of a protein structure. ",,https://bio.tools/warpp,
WASP,https://www.uni-giessen.de/de/fbz/fb08/Inst/bioinformatik/software/wasp,,"ELIXIR Germany","Genes and genomes",,"A web-accessible, single cell RNA-Seq processing platform designed for the management, analysis and interpretation of scRNA-seq high-throughput data.",,https://bio.tools/wasp-rna,
WatAA,https://wataa.datmos.org,,"ELIXIR Czech Republic","Molecular and cellular structures",,"Atlas of Protein Hydration",,https://bio.tools/wataa,
Weeder,http://www.beaconlab.it/modtools,,"ELIXIR Italy","Genes and genomes",,"A software package for the automatic discovery of enriched motifs in a set of related DNA sequences, including ChIP-Seq peaks.","Giulio Pavesi",https://bio.tools/weeder,
WESkit,https://gitlab.com/one-touch-pipeline/weskit,,"ELIXIR Germany",,,"WESkit is an open source implementation of a Workflow Execution Service (WES). It tries to be GA4GH-compliant.",,,
WheatIS,https://urgi.versailles.inrae.fr/wheatis/,,"ELIXIR France","Genes and genomes",,"WheatIS is a portal that enables data discovery through an international federation of distant informations systems about wheat genetics and genomics in the frame of the Wheat Initiative (www.wheatinitiative.org). The WheatIS portal allows a keyword-based discovery of any type of data. It currently gives a single entry point to data provided by twelve different worldwide institutes.","Anne-Françoise Adam-Blondon",https://bio.tools/WheatIS,
WikiPathways,https://www.wikipathways.org/index.php/WikiPathways,,"ELIXIR Netherlands","Enzymes, interactions and pathways, Genes and genomes",,"An open, collaborative platform dedicated to the curation of biological pathways","Egon Willighagen",https://bio.tools/wikipathways,https://fairsharing.org/FAIRsharing.1x53qk
WiNGS,https://wings.esat.kuleuven.be/,,"ELIXIR Belgium","Genes and genomes",,"Federated genomics data sharing platform allowing users to query genomic and phenotypic information.","Yves Moreau",,
"Workflow Execution Service backend (WfExS-backend)",https://github.com/inab/WfExS-backend,,"ELIXIR Spain","Genes and genomes, Proteins and proteomes",,"Workflow Execution Service automating a number of steps, including: 


	Fetch and cache a workflow a number of sources
	Identify the kind of workflow.
	Fetch and set up workflow execution engine
	Identify the needed containers by the workflow
	Execute the workflow in a secure way",,,
"Workflow Plug-Ins",https://www.denbi.de/,,,,,"Workflow plugins provide pipelines for the most common NGS processing tasks, including alignment (WES, WGS, WGBS, RNA-seq), quality control and variant calling (SNV, indel, CNV, SV).","Ivo Buchhalter",,
"Workflow plug-Ins for NGS processing",https://www.denbi.de/services/1684-workflow-plug-ins-for-ngs-processing,,"ELIXIR Germany",,,"Workflow plugins provide pipelines for the most common NGS processing tasks, including alignment (WES, WGS, WGBS, RNA-seq), quality control and variant calling (SNV, indel, CNV, SV).",,,
Workflow4Metabolomics,https://workflow4metabolomics.org/,,"ELIXIR France","Molecular and cellular structures",,"Workflow4Metabolomics resource is based on the Galaxy environment that provides user-friendly interfaces to build, run, and share comprehensive data analysis workflows and gives access to a High Performance Computing environment the ELIXIR-FR/IFB infrastructure. Thus, W4M offers more than 40 tools to process data from all three main technologies (NMR, GCMS, LCMS), including unique algorithms developed by the W4M developers themselves. Data and workflows can be re-used and publicly shared, thus becoming useful references for the community. Finally, the platform provides many tutorials and a help desk.","Gildas Le Corguillé",https://bio.tools/workflow4metabolomics,
